T13,Gross Value added by kind of economic activity,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
32,Argentina,2019,Services (% of gross value added),63.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
51,Armenia,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",19.9,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
51,Armenia,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",17.8,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
51,Armenia,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",18.9,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
51,Armenia,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",15.3,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
51,Armenia,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",13.2,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
51,Armenia,1995,Industry (% of gross value added),28.4,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
51,Armenia,2005,Industry (% of gross value added),43.8,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
51,Armenia,2010,Industry (% of gross value added),34.7,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
51,Armenia,2015,Industry (% of gross value added),28.2,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
51,Armenia,2018,Industry (% of gross value added),27.1,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
51,Armenia,2019,Industry (% of gross value added),26.8,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
51,Armenia,1995,Services (% of gross value added),31.3,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
51,Armenia,2005,Services (% of gross value added),36.3,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
